protocol,scenario,run,time,throughput,bytes,retransmissions
tcp,A,1,0.001173,4257389.06,4994,0
tcp,A,2,0.000203,24556101.03,4994,0
tcp,A,3,0.000142,35203956.60,4994,0
tcp,A,4,0.000250,20006068.94,4994,0
tcp,A,5,0.000206,24215438.35,4994,0
tcp,A,6,0.000213,23403747.68,4994,0
tcp,A,7,0.000144,34736905.76,4994,0
tcp,A,8,0.000229,21841870.88,4994,0
tcp,A,9,0.000172,28971444.23,4994,0
tcp,A,10,0.000194,25732621.84,4994,0
tcp,A,11,0.000201,24817955.18,4994,0
tcp,A,12,0.000139,35990299.27,4994,0
tcp,A,13,0.000148,33784442.22,4994,0
tcp,A,14,0.000183,27238431.96,4994,0
tcp,A,15,0.000143,35027348.12,4994,0
rudp,A,1,0.077310,64597.01,4994,0
rudp,A,2,0.067001,74536.08,4994,0
rudp,A,3,0.066486,75113.96,4994,0
rudp,A,4,0.067260,74249.15,4994,0
rudp,A,5,0.067113,74411.37,4994,0
rudp,A,6,0.066885,74664.94,4994,0
rudp,A,7,0.066245,75386.73,4994,0
rudp,A,8,0.067188,74328.99,4994,0
rudp,A,9,0.066618,74964.49,4994,0
rudp,A,10,0.066613,74970.40,4994,0
rudp,A,11,0.066362,75254.02,4994,0
rudp,A,12,0.066535,75057.71,4994,0
rudp,A,13,0.066265,75364.49,4994,0
rudp,A,14,0.066428,75179.20,4994,0
rudp,A,15,0.065963,75708.80,4994,0
tcp,B,1,0.000246,20316541.39,4994,0
tcp,B,2,0.000202,24730052.16,4994,0
tcp,B,3,0.000201,24906485.35,4994,0
tcp,B,4,0.000195,25638132.41,4994,0
tcp,B,5,0.000175,28615237.95,4994,0
tcp,B,6,0.000226,22142023.44,4994,0
tcp,B,7,0.000190,26215712.36,4994,0
tcp,B,8,0.000190,26215712.36,4994,0
tcp,B,9,0.000157,31736900.27,4994,0
tcp,B,10,0.000196,25513220.68,4994,0
tcp,B,11,0.000210,23802675.20,4994,0
tcp,B,12,0.000232,21505497.10,4994,0
tcp,B,13,0.000168,29795667.39,4994,0
tcp,B,14,0.000216,23119596.22,4994,0
tcp,B,15,0.000170,29419036.76,4994,0
rudp,B,1,0.307031,16265.46,4994,0
rudp,B,2,1.308764,3815.82,4994,1
rudp,B,3,0.306430,16297.34,4994,0
rudp,B,4,0.307496,16240.86,4994,0
rudp,B,5,0.306939,16270.35,4994,0
rudp,B,6,0.307085,16262.60,4994,0
rudp,B,7,0.306826,16276.35,4994,0
rudp,B,8,0.307749,16227.51,4994,0
rudp,B,9,0.306275,16305.59,4994,0
rudp,B,10,0.306153,16312.10,4994,0
rudp,B,11,0.306895,16272.69,4994,0
rudp,B,12,0.306623,16287.10,4994,0
rudp,B,13,0.306678,16284.19,4994,0
rudp,B,14,0.307460,16242.75,4994,0
rudp,B,15,0.306861,16274.45,4994,0
tcp,C,1,0.000185,26957984.78,4994,0
tcp,C,2,0.000203,24556101.03,4994,0
tcp,C,3,0.000205,24384579.95,4994,0
tcp,C,4,0.000144,34794608.27,4994,0
tcp,C,5,0.000226,22072027.58,4994,0
tcp,C,6,0.000252,19798066.33,4994,0
tcp,C,7,0.000219,22792550.79,4994,0
tcp,C,8,0.000209,23856895.42,4994,0
tcp,C,9,0.000227,21979385.28,4994,0
tcp,C,10,0.000206,24187475.95,4994,0
tcp,C,11,0.000206,24187475.95,4994,0
tcp,C,12,0.000220,22669214.48,4994,0
tcp,C,13,0.000234,21352042.99,4994,0
tcp,C,14,0.000259,19305395.55,4994,0
tcp,C,15,0.000206,24271557.56,4994,0
rudp,C,1,1.608788,3104.20,4994,0
rudp,C,2,1.608495,3104.77,4994,1
rudp,C,3,1.608929,3103.93,4994,1
rudp,C,4,1.608178,3105.38,4994,1
rudp,C,5,1.607865,3105.98,4994,1
rudp,C,6,1.607650,3106.40,4994,1
rudp,C,7,1.608264,3105.21,4994,0
rudp,C,8,1.608896,3103.99,4994,1
rudp,C,9,0.606831,8229.64,4994,0
rudp,C,10,0.606619,8232.51,4994,0
rudp,C,11,1.607595,3106.50,4994,1
rudp,C,12,0.606812,8229.89,4994,0
rudp,C,13,2.609655,1913.66,4994,2
rudp,C,14,0.606659,8231.97,4994,0
rudp,C,15,1.608554,3104.65,4994,1
tcp,A,1,0.000791,6316753.37,4994,0
tcp,A,2,0.000161,30939961.86,4994,0
tcp,A,3,0.000169,29543517.88,4994,0
tcp,A,4,0.000124,40127115.28,4994,0
tcp,A,5,0.000117,42573890.60,4994,0
tcp,A,6,0.000206,24299714.82,4994,0
tcp,A,7,0.000115,43457166.34,4994,0
tcp,A,8,0.000136,36747989.78,4994,0
tcp,A,9,0.000118,42315867.02,4994,0
tcp,A,10,0.000143,34968871.75,4994,0
tcp,A,11,0.000184,27203057.37,4994,0
tcp,A,12,0.000137,36365198.22,4994,0
tcp,A,13,0.000177,28267684.45,4994,0
tcp,A,14,0.000121,41314308.04,4994,0
tcp,A,15,0.000126,39671125.33,4994,0
rudp,A,1,0.065546,76191.28,4994,0
rudp,A,2,0.065340,76430.93,4994,0
rudp,A,3,0.065490,76255.63,4994,0
rudp,A,4,0.066421,75186.76,4994,0
rudp,A,5,0.065391,76371.85,4994,0
rudp,A,6,0.064855,77002.43,4994,0
rudp,A,7,0.064571,77340.77,4994,0
rudp,A,8,0.065930,75747.13,4994,0
rudp,A,9,0.065467,76283.12,4994,0
rudp,A,10,0.066177,75464.14,4994,0
rudp,A,11,0.065614,76111.55,4994,0
rudp,A,12,0.065790,75907.99,4994,0
rudp,A,13,0.067196,74320.02,4994,0
rudp,A,14,0.066159,75485.08,4994,0
rudp,A,15,0.065957,75715.92,4994,0
tcp,B,1,0.000212,23508815.01,4994,0
tcp,B,2,0.000157,31833365.01,4994,0
tcp,B,3,0.000404,12357731.08,4994,0
tcp,B,4,0.000610,8188566.92,4994,0
tcp,B,5,0.000853,5855844.05,4994,0
tcp,B,6,0.000125,39973958.35,4994,0
tcp,B,7,0.000164,30489598.51,4994,0
tcp,B,8,0.000124,40127115.28,4994,0
tcp,B,9,0.000147,34003821.71,4994,0
tcp,B,10,0.000109,45834473.03,4994,0
tcp,B,11,0.000219,22792550.79,4994,0
tcp,B,12,0.000108,46035943.24,4994,0
tcp,B,13,0.000204,24527346.81,4994,0
tcp,B,14,0.000188,26615443.68,4994,0
tcp,B,15,0.000208,24021048.37,4994,0
rudp,B,1,0.306962,16269.09,4994,0
rudp,B,2,0.306444,16296.61,4994,0
rudp,B,3,0.307231,16254.89,4994,0
rudp,B,4,0.306836,16275.79,4994,0
rudp,B,5,0.306434,16297.15,4994,0
rudp,B,6,0.306525,16292.31,4994,0
rudp,B,7,0.306646,16285.87,4994,0
rudp,B,8,0.307034,16265.29,4994,0
rudp,B,9,2.313957,2158.21,4994,2
rudp,B,10,0.306968,16268.77,4994,0
tcp,A,1,0.000966,5171939.30,4994,0
tcp,A,2,0.000204,24470039.93,4994,0
