protocol,scenario,run,time,throughput,bytes,retransmissions
tcp,A,1,0.000149,33460629.67,4994,0
tcp,A,2,0.000178,28115911.65,4994,0
tcp,A,3,0.000116,43188359.13,4994,0
tcp,A,4,0.000177,28191593.78,4994,0
tcp,A,5,0.000126,39746402.61,4994,0
tcp,A,6,0.000116,42922856.92,4994,0
tcp,A,7,0.000108,46239192.44,4994,0
tcp,A,8,0.000139,35867044.82,4994,0
tcp,A,9,0.000176,28344186.98,4994,0
tcp,A,10,0.000178,28115911.65,4994,0
rudp,A,1,0.065308,76468.60,4994,0
rudp,A,2,0.065125,76683.31,4994,0
rudp,A,3,0.065585,76145.86,4994,0
rudp,A,4,0.065260,76524.47,4994,0
rudp,A,5,0.065192,76604.51,4994,0
rudp,A,6,0.064624,77277.99,4994,0
rudp,A,7,0.064425,77517.08,4994,0
rudp,A,8,0.065379,76385.77,4994,0
rudp,A,9,0.065842,75848.34,4994,0
rudp,A,10,0.065711,75999.43,4994,0
tcp,B,1,0.000137,36365198.22,4994,0
tcp,B,2,0.000161,31077676.82,4994,0
tcp,B,3,0.000230,21728583.17,4994,0
tcp,B,4,0.000131,38084280.32,4994,0
tcp,B,5,0.000209,23856895.42,4994,0
tcp,B,6,0.000178,28115911.65,4994,0
tcp,B,7,0.000094,53028744.75,4994,0
tcp,B,8,0.000099,50351812.92,4994,0
tcp,B,9,0.000139,35805733.63,4994,0
tcp,B,10,0.000136,36747989.78,4994,0
rudp,B,1,0.305860,16327.73,4994,0
rudp,B,2,0.310955,16060.20,4994,0
rudp,B,3,0.305823,16329.69,4994,0
rudp,B,4,0.306607,16287.95,4994,0
rudp,B,5,0.306054,16317.39,4994,0
rudp,B,6,1.306283,3823.06,4994,1
rudp,B,7,0.306410,16298.43,4994,0
rudp,B,8,0.305868,16327.30,4994,0
rudp,B,9,1.308344,3817.04,4994,1
rudp,B,10,1.305859,3824.30,4994,1
tcp,C,1,0.000313,15977386.86,4994,0
tcp,C,2,0.000230,21706066.50,4994,0
tcp,C,3,0.000296,16892221.11,4994,0
tcp,C,4,0.000228,21864670.33,4994,0
tcp,C,5,0.000184,27132583.13,4994,0
tcp,C,6,0.000196,25451220.14,4994,0
tcp,C,7,0.000215,23273726.86,4994,0
tcp,C,8,0.000104,47932160.59,4994,0
tcp,C,9,0.000190,26248564.13,4994,0
tcp,C,10,0.000183,27273898.67,4994,0
rudp,C,1,0.607521,8220.29,4994,0
rudp,C,2,1.607699,3106.30,4994,0
rudp,C,3,0.607322,8222.98,4994,0
rudp,C,4,1.610042,3101.78,4994,1
rudp,C,5,0.605984,8241.14,4994,0
rudp,C,6,1.607229,3107.21,4994,1
rudp,C,7,0.605544,8247.14,4994,0
